,semestre_1,district_id,banda_larga_1,nro_medicoes_1,medicoes_ipv6_1,medicoes_ipv4_1,mediana_download_1,mediana_upload_1,mediana_latencia_1,mediana_perdapacotes_1,mediana_jitterdown_1,mediana_jitterup_1,semestre_2,banda_larga_2,nro_medicoes_2,medicoes_ipv6_2,medicoes_ipv4_2,mediana_download_2,mediana_upload_2,mediana_latencia_2,mediana_perdapacotes_2,mediana_jitterdown_2,mediana_jitterup_2,media_download,media_upload,media_latencia,media_perdapacotes,media_jitterdown,media_jitterup
0,2021_1,1,movel,16,2,14,23.5938725471496,38.3039999008179,8.87575006484985,0,0.681500002741814,1.47900003194809,2021_2,movel,12,8,4,50.0438003540039,25.8410873413086,13.8940000534058,0,1.00300002098084,1.60250002145767,36.8188364505768,32.0725436210632,11.3848750591278,0,0.842250011861324,1.54075002670288
1,2021_1,2,movel,7,7,0,,,13.0490002632141,0,0.378000006079674,1.1309999525547,2021_2,movel,8,7,1,286.69713973999,42.6050872802734,17.1325001716614,0,0.850500017404556,2.41999995708466,143.348569869995,21.3025436401367,15.0907502174377,0,0.614250011742115,1.77549995481968
2,2021_1,3,movel,12,0,12,39.5850973129272,48.9518394470215,6.7185001373291,1,1.77599996328354,0.679500013589859,2021_2,movel,1,0,1,1.20356500148773,28.491455078125,72.0469970703125,6,30.0160007476807,0.930000007152557,20.3943311572075,38.7216472625732,39.3827486038208,3.5,15.8960003554821,0.804750010371208
3,2021_1,4,movel,3,0,3,93.7839097976685,83.6063966751099,9.4762499332428,0,0.329499997198582,0.868249997496605,2021_2,movel,11,8,3,102.557441711426,19.6073608398438,18.9844999313355,0,1.16550000011921,2.02950003743172,98.1706757545471,51.6068787574768,14.2303749322891,0,0.747499998658896,1.44887501746416
4,2021_1,5,movel,3,0,3,34.2904853820801,21.3608951568604,29.9130001068115,100,2.17600011825562,3.47000002861023,2021_2,movel,68,6,62,62.5187816619873,30.5319356918335,11.7295002937317,0,0.465750001370907,1.28649997711182,48.4046335220337,25.9464154243469,20.8212502002716,50,1.32087505981326,2.37825000286102
5,2021_1,7,movel,11,10,1,3.85267210006714,3.87622404098511,20.5495004653931,0,0.526500001549721,2.09700000286102,2021_2,movel,5,2,3,51.6334037780762,9.19142436981201,28.1120004653931,52,0.592000003904104,13.0670000463724,27.7430379390717,6.53382420539856,24.3307504653931,26,0.559250002726913,7.58200002461672
6,2021_1,9,movel,11,7,4,28.0624237060547,23.7772805690765,33.1754999160767,2,15.6459999978542,1.12799999117851,2021_2,movel,7,6,1,84.8595809936523,69.3054866790772,32.9635004997253,27.75,15.4595001488924,0.457000002264977,56.4610023498535,46.5413836240768,33.069500207901,14.875,15.5527500733733,0.792499996721745
7,2021_1,10,movel,1,0,1,262.254333496094,144.353668212891,9.41100025177002,0,1.16199994087219,0.570999979972839,2021_2,movel,11,9,2,39.6154069900513,13.9869439601898,12.9685001373291,0,0.622750014066696,1.64550000429153,150.934870243072,79.1703060865402,11.1897501945496,0,0.892374977469444,1.10824999213219
8,2021_1,11,movel,20,4,16,57.0942707061768,38.0230073928833,6.78299999237061,0,0.501999974250793,0.994000017642975,2021_2,movel,48,8,40,38.3155212402344,38.8429441452026,6.05600023269653,0,0.404000014066696,0.685999989509583,47.7048959732056,38.432975769043,6.41950011253357,0,0.452999994158745,0.840000003576279
9,2021_1,12,movel,10,4,6,58.9059209823608,29.431839466095,11.3452501296997,25,0.231749996542931,2.12825003266335,2021_2,movel,9,0,9,74.9147148132324,29.4397754669189,22.0295000076294,50,0.445500001311302,11.4085001945496,66.9103178977966,29.435807466507,16.6873750686646,37.5,0.338624998927116,6.76837511360645
10,2021_1,13,movel,10,8,2,93.5423984527588,87.7831697463989,10.4230003356934,0,0.349999994039536,1.67599999904633,2021_2,movel,23,21,2,26.6941878795624,66.0723857879639,11.96875,29,0.341999992728233,0.32124999910593,60.1182931661606,76.9277777671814,11.1958751678467,14.5,0.345999993383884,0.998624999076128
11,2021_1,15,movel,8,0,8,8.69961929321289,14.8838400840759,15.8640003204346,0,0.86599999666214,6.03999996185303,2021_2,movel,12,11,1,36.772536277771,36.1179294586182,27.6234998703003,0,0.514750003814697,2.65850007534027,22.7360777854919,25.500884771347,21.7437500953674,0,0.690375000238419,4.34925001859665
12,2021_1,16,movel,11,3,8,92.1839786171913,52.7183021605015,75.6577515602112,1.5,5.74975001811981,9.86775001138449,2021_2,movel,4,3,1,82.5020408630371,22.9165434837341,13.3859996795654,0,0.41499999165535,0.990499973297119,87.3430097401142,37.8174228221178,44.5218756198883,0.75,3.08237500488758,5.4291249923408
13,2021_1,17,movel,25,8,17,78.7488651275635,24.1914234161377,16.2419998645782,0,0.990500032901764,2.33750003576279,2021_2,movel,77,13,64,25.1873073577881,21.3811206817627,16.8675003051758,2,1.09475003182888,1.2945000231266,51.9680862426758,22.7862720489502,16.554750084877,1,1.04262503236532,1.81600002944469
14,2021_1,18,movel,14,7,7,12.8323831558228,11.2869119644165,14.5095000267029,0,0.506000012159348,1.14350003004074,2021_2,movel,47,30,17,40.2371215820313,25.5440635681152,15.2399997711182,0,0.759999990463257,0.867999970912933,26.534752368927,18.4154877662659,14.8747498989105,0,0.633000001311302,1.00575000047684
15,2021_1,19,movel,21,3,18,29.7709445953369,36.8927993774414,9.16674995422363,0,0.481500014662743,1.30074998736382,2021_2,movel,27,1,26,40.6965866088867,22.2196798324585,9.61149978637695,0,0.45100000500679,1.34500002861023,35.2337656021118,29.55623960495,9.38912487030029,0,0.466250009834766,1.32287500798702
