,semestre,district_id,banda_larga,nro_medicoes,medicoes_ipv6,medicoes_ipv4,mediana_download,mediana_upload,mediana_latencia,mediana_perdapacotes,mediana_jitterdown,mediana_jitterup
193,2021_1,01,movel,16,2,14,23.593872547149655,38.30399990081787,8.875750064849854,0.0,0.6815000027418137,1.4790000319480896
195,2021_1,02,movel,7,7,0,,,13.049000263214111,0.0,0.3780000060796737,1.1309999525547028
197,2021_1,03,movel,12,0,12,39.585097312927246,48.95183944702149,6.718500137329102,1.0,1.7759999632835388,0.679500013589859
199,2021_1,04,movel,3,0,3,93.78390979766846,83.60639667510986,9.476249933242798,0.0,0.3294999971985817,0.8682499974966049
201,2021_1,05,movel,3,0,3,34.29048538208008,21.36089515686035,29.913000106811523,100.0,2.1760001182556152,3.470000028610229
204,2021_1,07,movel,11,10,1,3.8526721000671382,3.8762240409851074,20.549500465393063,0.0,0.5265000015497208,2.097000002861023
207,2021_1,09,movel,11,7,4,28.062423706054688,23.777280569076535,33.17549991607666,2.0,15.645999997854233,1.1279999911785126
209,2021_1,10,movel,1,0,1,262.2543334960937,144.35366821289062,9.41100025177002,0.0,1.1619999408721924,0.5709999799728394
211,2021_1,11,movel,20,4,16,57.09427070617676,38.0230073928833,6.7829999923706055,0.0,0.5019999742507935,0.9940000176429749
213,2021_1,12,movel,10,4,6,58.90592098236084,29.43183946609497,11.345250129699709,25.0,0.2317499965429306,2.1282500326633453
215,2021_1,13,movel,10,8,2,93.5423984527588,87.78316974639893,10.42300033569336,0.0,0.3499999940395355,1.6759999990463257
218,2021_1,15,movel,8,0,8,8.69961929321289,14.883840084075928,15.86400032043457,0.0,0.8659999966621399,6.039999961853027
220,2021_1,16,movel,11,3,8,92.18397861719131,52.71830216050148,75.65775156021118,1.5,5.749750018119812,9.867750011384487
222,2021_1,17,movel,25,8,17,78.74886512756348,24.19142341613769,16.241999864578247,0.0,0.990500032901764,2.337500035762787
224,2021_1,18,movel,14,7,7,12.832383155822754,11.286911964416504,14.50950002670288,0.0,0.5060000121593475,1.143500030040741
226,2021_1,19,movel,21,3,18,29.770944595336918,36.892799377441406,9.166749954223633,0.0,0.4815000146627426,1.3007499873638153
